Name,Men,Women,Total
Giovannie,81,3,84
Geerlig,79,3,82
Geertine,0,81,81
Gerrarda,3,80,83
Giena,0,81,81
Garbrand,80,0,80
Gerjon,71,8,79
Germina,3,78,81
Gosuinus,79,0,79
Graziano,79,0,79
Gwendolijn,3,77,80
Gytha,3,78,81
Gerarde,0,78,78
Germana,6,72,78
Gonne,6,72,78
Gosem,78,0,78
Güler,0,78,78
Gustavo,77,3,80
Géneviève,0,77,77
Géza,75,3,78
Gabry,11,65,76
Gerbranda,0,76,76
Goudina,0,76,76
Guiliano,76,0,76
Gerlien,3,74,77
Gülseren,0,75,75
Gülten,0,75,75
Gysbert,75,0,75
Gayle,3,71,74
Gerieke,0,74,74
Germt,74,0,74
Godfrieda,0,74,74
Gosling,74,0,74
Goverdinus,74,0,74
Gaël,68,5,73
Gamal,53,20,73
Geerdine,0,73,73
Geralt,73,0,73
Gianny,61,12,73
Grazia,3,72,75
Gerad,72,0,72
Glijn,72,0,72
Geuko,71,0,71
Gwendolynn,0,71,71
Genairo,70,0,70
Gerita,0,70,70
Gijs-Jan,70,0,70
Giuliana,0,70,70
Gunter,64,6,70
Geerdiena,3,68,71
Gratiana,3,68,71
Griselda,0,69,69
Gwendy,5,64,69
Geertruy,0,68,68
Gerti,15,53,68
Gilliam,65,3,68
Glenny,45,23,68
Gelein,65,3,68
Gülsen,0,67,67
Guyonne,3,66,69
Garritjen,0,66,66
Gerrardus,66,0,66
Graciella,0,66,66
Gerlacus,62,3,65
Ghita,0,65,65
Godfridus,61,3,64
Gooitsen,65,0,65
Guadalupe,3,64,67
Garry,54,10,64
Gauri,3,62,65
Geuje,64,0,64
Govinda,52,12,64
Geertinus,63,0,63
Gelt,63,0,63
Généviève,0,63,63
Gerdo,62,3,65
Gerta,3,60,63
Giannina,0,63,63
Giesbert,63,0,63
Gilberte,3,62,65
Giorgia,0,63,63
Gosewijn,63,0,63
Grietjen,3,62,65
Geo,61,3,64
Gerardinus,61,3,64
Gisbertus,55,7,62
Godelive,3,59,62
Güven,61,3,64
Galid,61,0,61
Gallyon,3,59,62
Gareth,61,0,61
Giordano,61,0,61
Gommarus,60,3,63
Gonca,0,61,61
Grieko,61,0,61
Guillaumina,3,60,63
Gaugerica,0,60,60
Gommarius,58,3,61
Greg,59,3,62
Gwendolin,3,58,61
Gerbrandina,0,59,59
Gerike,0,59,59
Germania,12,47,59
Gerradina,0,59,59
Gretchen,3,58,61
Gepkea,0,58,58
Gerran,57,3,60
Gerreke,3,57,60
Getruda,3,55,58
Göran,57,3,60
Gülbahar,0,58,58
Güneş,11,47,58
Genelva,0,57,57
Gerriët,0,57,57
Gianne,0,57,57
Gaëlle,3,54,57
Gebiena,0,56,56
Geerhardus,56,0,56
Gelmer,56,0,56
Gerbina,3,55,58
Gie,49,7,56
György,55,3,58
Geertdina,0,55,55
Gellius,53,3,56
Gepko,53,3,56
Goitzen,55,0,55
Gülizar,0,55,55
Gerritdine,0,54,54
Grietsje,0,54,54
Grietzen,53,3,56
Guanita,0,54,54
Gaitrie,0,53,53
Gees,13,40,53
Gerbrecht,14,39,53
Gesienus,53,0,53
Gettje,0,53,53
Gidon,53,0,53
Gilmar,53,0,53
Gislaine,3,49,52
Gentiana,0,52,52
Georgino,52,0,52
Georgy,40,12,52
Gertha,3,49,52
Godelinde,0,52,52
Gonzalo,52,0,52
Gre,3,49,52
Gael,44,7,51
Gerhardes,51,0,51
Gerlise,0,51,51
Gökay,51,0,51
Goverd,51,0,51
Gozewijn,51,0,51
Gabri,33,17,50
Geertruijda,0,50,50
German,50,0,50
Godwin,49,3,52
Genovefa,5,44,49
Geran,40,9,49
Godelief,3,48,51
Goedele,0,49,49
Güllü,0,49,49
Gülüzar,0,49,49
Geertruidis,34,14,48
Geranda,0,48,48
Gerrine,0,48,48
Gijske,3,47,50
Giso,48,0,48
Gitana,0,48,48
Gyon,48,0,48
Gaspar,43,3,46
Gelinus,47,0,47
Gerlacha,0,47,47
Gijsbartus,47,0,47
Günay,27,20,47
Gwan,45,3,48
Gaurav,46,0,46
Gelijn,46,0,46
Geneviëve,0,46,46
Geordy,46,0,46
Gillina,0,46,46
Girigorio,46,0,46
Golda,3,44,47
Gordana,3,45,48
Gülden,0,46,46
Gaius,45,0,45
Geranne,0,45,45
Gijsbregt,45,0,45
Giray,45,0,45
Gitty,0,45,45
Gösta,39,6,45
Graciano,45,0,45
Gülsün,0,45,45
Gust,45,0,45
Gentle,22,22,44
Geordi,44,0,44
Georgetina,0,44,44
Gerardi,11,33,44
Germien,3,43,46
Gerolf,44,0,44
Giana,0,44,44
Gine,0,44,44
Giuseppa,0,44,44
Graeme,44,0,44
Guillemette,0,44,44
Gedeon,43,0,43
Geneviéve,0,43,43
Georgetta,3,42,45
Gieneke,0,43,43
Gorrit,42,3,45
Guan,42,3,45
Guenevere,3,42,45
Gustina,0,43,43
Geessie,0,42,42
Georginio,42,0,42
Gerjen,41,3,44
Gerret,42,0,42
Giandro,42,0,42
Gianfranco,41,3,44
Givenchy,20,22,42
Gomarus,42,0,42
Grieteke,0,42,42
Gwendolien,0,42,42
Gaye,3,39,42
Geessienus,41,0,41
Gerland,22,19,41
Gerritdien,0,41,41
Gianina,0,41,41
Gijsbarta,0,41,41
Godelieva,3,39,42
Godfrida,3,40,43
Goswinus,34,7,41
Goverdine,0,41,41
Gozen,41,0,41
Gregoire,33,8,41
Grietiena,0,41,41
Gwyn,15,26,41
Gautam,40,0,40
Geerthe,3,39,42
Geleijn,39,3,42
Godard,40,0,40
Gray,34,6,40
Guglielmo,40,0,40
Gülistan,0,40,40
Gwendelyn,0,40,40
Gyano,40,0,40
Gaatse,39,0,39
Geerda,0,39,39
Gelbrig,0,39,39
Gerhart,39,0,39
Gerine,0,39,39
Gerla,3,38,41
Gidi,26,13,39
Gilana,0,39,39
Grad,37,3,40
Grant,37,3,40
Guilherme,39,0,39
Gerbrandt,38,0,38
Gerzina,0,38,38
Getje,0,38,38
Geurtine,0,38,38
Gien,8,30,38
Gilberta,3,37,40
Giok,9,29,38
Gökmen,38,0,38
Grégoire,35,3,38
Gregoor,38,0,38
Guiljaam,38,0,38
Guurtruda,3,37,40
Gabie,9,28,37
Garda,0,37,37
Gaudentia,0,37,37
Geerie,3,36,39
Gerre,20,17,37
Gerregien,0,37,37
Ghyslaine,0,37,37
Gijsberth,37,0,37
Gijsberthe,0,37,37
Gitano,37,0,37
Givan,36,3,39
Guylian,35,3,38
Gabby,3,33,36
Gale,21,15,36
Geer,28,8,36
Georgi,29,7,36
Getty,3,35,38
Gielje,0,36,36
Glynis,0,36,36
Gotfried,36,0,36
Goudje,0,36,36
Grady,17,19,36
Griëtte,0,36,36
Gul,7,29,36
Gwendeline,0,36,36
Georgiana,0,35,35
Gerinda,0,35,35
Gerrike,0,35,35
Gesiene,0,35,35
Gil,31,3,34
Gilvano,35,0,35
Giorgina,3,34,37
Giovana,0,35,35
Giovanno,35,0,35
Giulian,35,0,35
Godiva,0,35,35
Gülnaz,0,35,35
Gylian,32,3,35
Galip,34,0,34
Gaukje,0,34,34
Gavino,34,0,34
Gawein,33,3,36
Gelbrich,0,34,34
Georgetine,0,34,34
Gerharde,0,34,34
Gerlin,3,32,35
Germano,33,3,36
Gerrechien,0,34,34
Gerwald,34,0,34
Ginie,0,34,34
Giovano,34,0,34
Godefrides,33,3,36
Graciëla,0,34,34
Gülçin,0,34,34
Gylano,34,0,34
Gani,30,3,33
Géanne,3,32,35
Geelke,0,33,33
Gelbrigje,0,33,33
Gérald,33,0,33
Gerbendina,0,33,33
Gerbertus,33,0,33
Gerlina,0,33,33
Gijsberte,0,33,33
Gryt,0,33,33
Gaudi,22,10,32
Gazina,3,30,33
Geen,31,3,34
Gerbe,32,0,32
