Name,Men,Women,Total
Medea,0,65,65
Mellisa,0,65,65
Mirabella,0,65,65
Madelien,0,64,64
Maria-Anna,3,62,65
Marischa,0,64,64
Marisse,3,61,64
Marthen,64,0,64
Mary-Anne,3,63,66
Marylin,3,62,65
Meryl,3,63,66
Mikhail,62,3,65
Mikkie,15,49,64
Mitra,13,51,64
Magdaleen,3,62,65
Maicel,63,0,63
Mateja,53,10,63
Maximilliaan,63,0,63
Maximo,63,0,63
Meerle,0,63,63
Mey,3,62,65
Maerle,0,62,62
Mardi,15,47,62
Margarida,3,61,64
Maria-Louisa,10,52,62
Maric,61,3,64
Meinou,3,59,62
Mignonne,0,62,62
Milika,0,62,62
Milon,29,33,62
Münevver,0,62,62
Maartina,0,61,61
Magdy,42,19,61
Malvina,3,59,62
Mariek,3,59,62
Mariza,3,60,63
Marjana,0,61,61
Marjolanda,3,60,63
Marquérite,0,61,61
Mase,59,3,62
Meggelina,3,60,63
Meyrem,0,61,61
Madhuri,0,60,60
Magalie,0,60,60
Maire,3,58,61
Mariko,0,60,60
Marjel,3,59,62
Maurick,60,0,60
Mutlu,49,11,60
Madhu,3,57,60
Manne,57,3,60
Meg,3,56,59
Meijke,3,58,61
Meinarda,3,58,61
Melinde,3,58,61
Mentje,8,51,59
Mirka,3,58,61
Mohamud,34,25,59
Maisam,3,54,57
Marchiano,58,0,58
Marchiene,0,58,58
Marell,3,56,59
Marguerithe,8,50,58
Marquerita,0,58,58
Maryama,0,58,58
Meira,0,58,58
Merije,0,58,58
Mie,3,55,58
Minnie,3,57,60
Mouaad,58,0,58
Murphy,52,6,58
Mafalda,3,55,58
Mala,3,55,58
Martineke,0,57,57
Mija,3,56,59
Millicent,3,56,59
Maaijke,0,56,56
Machutus,54,3,57
Malek,36,20,56
Mareen,0,56,56
Maroucha,0,56,56
Medard,51,5,56
Melloney,0,56,56
Melodie,0,56,56
Michélle,3,55,58
Milagros,3,54,57
Miller,56,0,56
Maarten-Jan,55,0,55
Majanka,0,55,55
