Name,Men,Women,Total
Berne,19,12,31
Bernulpha,0,31,31
Bertrandus,31,0,31
Birkan,31,0,31
Blaise,30,3,33
Bonito,30,3,33
Breanna,0,31,31
Bregita,0,31,31
Breunisje,0,31,31
Brune,9,22,31
Bapke,0,30,30
Bard,30,0,30
Basmala,0,30,30
Bassam,24,6,30
Bassim,30,0,30
Bauwe,30,0,30
Beanca,0,30,30
Begga,3,27,30
Benaiah,30,0,30
Ber,30,0,30
Beran,29,3,32
Bernd-Jan,30,0,30
Beyda,0,30,30
Bocke,30,0,30
Boubacar,30,0,30
Brigette,0,30,30
Bright,25,5,30
Buster,28,3,31
Baldus,29,0,29
Basjan,29,0,29
Bennard,29,0,29
Beray,6,23,29
Beredina,0,29,29
Bernlef,29,0,29
Berrak,0,29,29
Bienze,29,0,29
Boban,29,0,29
Bodyl,3,28,31
Boen,22,7,29
Bonje,0,29,29
Bougien,0,29,29
Boyen,27,3,30
Brown,21,8,29
Bunyamin,29,0,29
Bahattin,28,0,28
Bakr,27,3,30
Bareldina,0,28,28
Barteline,0,28,28
Bartimeüs,28,0,28
Bas-Jan,28,0,28
Baudouin,26,3,29
Bedriye,0,28,28
Bein,27,3,30
Bektaş,28,0,28
Bengü,0,28,28
Beppy,0,28,28
Bernedette,0,28,28
Bernold,28,0,28
Berryl,3,25,28
Bertranda,0,28,28
Bibie,0,28,28
Biljana,0,28,28
Bintou,0,28,28
Boo,11,17,28
Boudewinus,28,0,28
Brighton,27,3,30
Budi,28,0,28
Balbina,0,27,27
Baldewina,0,27,27
Barbarella,0,27,27
Basile,25,3,28
Batoul,0,27,27
Bedir,27,0,27
Belize,0,27,27
Bendiks,27,0,27
Benediktus,27,0,27
Bennita,0,27,27
Benton,24,3,27
Berhan,26,3,29
Berthie,7,20,27
Betto,27,0,27
Binyamin,27,0,27
Bouwelina,3,26,29
Brandi,3,26,29
Bronwyn,3,26,29
Burg,27,0,27
B'Elanna,0,26,26
Balster,26,0,26
Barbora,0,26,26
Barendinus,26,0,26
Baue,25,3,28
Beije,23,3,26
Beitsche,0,26,26
Benedetta,0,26,26
Beorn,26,0,26
Bérénice,0,26,26
Berkin,26,0,26
Bernanda,0,26,26
Biene,0,26,26
Bijtje,0,26,26
Bikkel,25,3,28
Bilel,26,0,26
Bjorna,0,26,26
Blaze,22,3,25
Body,22,3,25
Boudelina,0,26,26
Bowine,0,26,26
Brandine,0,26,26
Bregetta,0,26,26
Brentley,26,0,26
Briek,26,0,26
Burchard,26,0,26
Barbette,3,23,26
Barnardus,25,0,25
Barteltje,0,25,25
Bartholomina,0,25,25
Bartlomeus,25,0,25
Beka,3,23,26
Bellamy,17,8,25
Benten,20,5,25
Berbe,3,24,27
Bernhardt,25,0,25
Bertilla,3,24,27
Bettus,25,0,25
Biethje,0,25,25
Blasina,0,25,25
Boan,24,3,27
Bralt,25,0,25
Brammert,25,0,25
Bugra,25,0,25
Buizerd,25,0,25
Baafje,0,24,24
Baldur,24,0,24
Barthelomea,0,24,24
Basem,20,3,23
Beekje,0,24,24
Belicia,0,24,24
Benaissa,22,3,25
Bender,24,0,24
Benn,24,0,24
Beria,0,24,24
Bjőrn,24,0,24
Bohdi,20,3,23
Botan,24,0,24
Bozena,0,24,24
Brandaan,24,0,24
Brantley,24,0,24
Breggina,0,24,24
Baart,23,0,23
Baha,22,3,25
Bahija,0,23,23
Barthlomeus,23,0,23
Basim,22,3,25
Batin,23,0,23
Beeke,7,16,23
Beeuw,0,23,23
Beke,8,15,23
Benonie,22,3,25
Berbara,0,23,23
Berdie,3,20,23
Berends,22,3,25
Bernardet,0,23,23
Bernier,23,0,23
Bertijn,22,3,25
Berton,23,0,23
Besim,23,0,23
Bian,19,3,22
Bindiya,0,23,23
Birgita,0,23,23
Bjintze,23,0,23
Bobbejaan,23,0,23
Bodean,12,11,23
Bodey,22,3,25
Bodille,0,23,23
Boubker,23,0,23
Bowina,0,23,23
Brenton,23,0,23
Bruina,0,23,23
Baafke,0,22,22
Babbette,0,22,22
Balthus,21,3,24
Barbarus,22,0,22
Bartolina,3,18,21
Basiel,21,3,24
Basilio,22,0,22
Benitius,20,3,23
Beritan,3,18,21
Bernette,0,22,22
Bernike,0,22,22
Berten,22,0,22
Bertruda,3,21,24
Bethel,3,19,22
Betine,0,22,22
Beverley,0,22,22
Bilâl,22,0,22
Bineke,0,22,22
Boike,20,3,23
Borus,22,0,22
Bos,21,3,24
Bouchina,0,22,22
Boudewien,0,22,22
Bouwkje,0,22,22
Bras,21,3,24
Brem,16,6,22
Broos,22,0,22
Bryanne,0,22,22
Buis,22,0,22
Babatunde,20,3,23
Bai,18,3,21
Baije,3,17,20
Baldewijn,21,0,21
Balt,21,0,21
Baltazar,20,3,23
Batın,21,0,21
Bei,6,15,21
Bendjamin,21,0,21
Bernadiena,0,21,21
Biagio,20,3,23
Bienvenido,20,3,23
Bieuwe,21,0,21
Binnaz,0,21,21
Bix,19,3,22
Bochra,0,21,21
Boke,20,3,23
Bonnita,0,21,21
Bonsu,9,12,21
Bougina,0,21,21
Bowey,20,3,23
Braydon,21,0,21
Breg,3,20,23
Brianda,0,21,21
Briony,3,20,23
Bronger,21,0,21
Bronwen,3,20,23
Baarte,20,0,20
Balina,0,20,20
Barbe,3,19,22
Barte,9,11,20
Bartholda,0,20,20
Bartle,20,0,20
Bashar,17,3,20
Bastiaen,20,0,20
Baukelien,0,20,20
Belen,3,17,20
Belèn,0,20,20
Bell,3,16,19
Bem,18,3,21
Bennert,20,0,20
Berdiene,0,20,20
Bergüzar,0,20,20
Berlin,3,18,21
Bertholdus,20,0,20
Beşir,20,0,20
Betsij,0,20,20
Bijan,20,0,20
Bijgje,0,20,20
Binnie,3,18,21
Bishoy,20,0,20
Bobo,19,3,22
Bonifatia,3,19,22
Bonnetta,0,20,20
Bow,16,3,19
Bregitha,0,20,20
Brendt,20,0,20
Briseïs,0,20,20
Brontë,0,20,20
Bryana,0,20,20
Burcin,3,17,20
Busenur,0,20,20
Baba,15,3,18
Babita,0,19,19
Badu,10,9,19
Barre,17,3,20
Basia,0,19,19
Beika,0,19,19
Belita,0,19,19
Bennito,19,0,19
Bernardin,5,14,19
Bernulfus,19,0,19
Berwout,19,0,19
Betta,3,18,21
Bibia,0,19,19
Bine,0,19,19
Binjamin,18,3,21
Bodina,0,19,19
Boeke,19,0,19
Boj,19,0,19
Bootje,0,19,19
Bowdy,18,3,21
Briggita,0,19,19
Brigid,0,19,19
Brünhilde,0,19,19
Bryon,19,0,19
Byanca,0,19,19
Babke,0,18,18
Bahati,9,9,18
Bahriye,0,18,18
Baltina,0,18,18
Baraa,10,8,18
Barenda,0,18,18
